geo,time,na_item,values
DE,2017-10-01,GValueAddIndus,174744.6
DE,2018-01-01,GValueAddIndus,172468.4
DE,2018-04-01,GValueAddIndus,172844.5
DE,2018-07-01,GValueAddIndus,171543.8
DE,2018-10-01,GValueAddIndus,171011
DE,2019-01-01,GValueAddIndus,172593.8
DE,2019-04-01,GValueAddIndus,170650.6
DE,2019-07-01,GValueAddIndus,169381.3
DE,2019-10-01,GValueAddIndus,169240.3
DE,2020-01-01,GValueAddIndus,164382.5
DE,2020-04-01,GValueAddIndus,138275.6
DE,2020-07-01,GValueAddIndus,159117.2
DE,2020-10-01,GValueAddIndus,166733
DE,2021-01-01,GValueAddIndus,167959.2
DE,2021-04-01,GValueAddIndus,169400.9
DE,2021-07-01,GValueAddIndus,167551.8
DE,2021-10-01,GValueAddIndus,169526.3
DE,2022-01-01,GValueAddIndus,167113
DE,2022-04-01,GValueAddIndus,168162.9
DE,2022-07-01,GValueAddIndus,168789.8
DE,2022-10-01,GValueAddIndus,167786.8
DE,2023-01-01,GValueAddIndus,168484.1
DE,2023-04-01,GValueAddIndus,167481.3
DE,2023-07-01,GValueAddIndus,164942.7
DE,2023-10-01,GValueAddIndus,163845.8
DE,2024-01-01,GValueAddIndus,163203.3
DE,1991-01-01,Export,101303.4
DE,1991-04-01,Export,95439.9
DE,1991-07-01,Export,100077.7
DE,1991-10-01,Export,100409
DE,1992-01-01,Export,101352.8
DE,1992-04-01,Export,96649.5
DE,1992-07-01,Export,99365.5
DE,1992-10-01,Export,94860.9
DE,1993-01-01,Export,92964.6
DE,1993-04-01,Export,91076.8
DE,1993-07-01,Export,91408
DE,1993-10-01,Export,93196.5
DE,1994-01-01,Export,96094.4
DE,1994-04-01,Export,100765
DE,1994-07-01,Export,100334.4
DE,1994-10-01,Export,100963.7
DE,1995-01-01,Export,104805.6
DE,1995-04-01,Export,105832.5
DE,1995-07-01,Export,106627.5
DE,1995-10-01,Export,108349.9
DE,1996-01-01,Export,109757.7
DE,1996-04-01,Export,110287.6
DE,1996-07-01,Export,113135.9
DE,1996-10-01,Export,118170
DE,1997-01-01,Export,120249.7
DE,1997-04-01,Export,123991.9
DE,1997-07-01,Export,130615.5
DE,1997-10-01,Export,132370.7
DE,1998-01-01,Export,135344.1
DE,1998-04-01,Export,137662.7
DE,1998-07-01,Export,136238.4
DE,1998-10-01,Export,133952.9
DE,1999-01-01,Export,134764.9
DE,1999-04-01,Export,141852.6
DE,1999-07-01,Export,145131.4
